,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,64,32,relu,0.0001,3,1,mse,0.1942143589258194
01,32,32,tanh,0.001,4,2,mse,0.19451259076595306
02,32,64,tanh,0.001,3,1,mse,0.20203089714050293
03,64,64,relu,1e-05,4,2,mse,0.2078612744808197
04,64,16,sigmoid,0.01,3,1,mse,0.22723503410816193
05,32,64,relu,0.01,3,2,mse,0.2441144436597824
06,64,64,sigmoid,0.001,2,1,mae,0.2545601427555084
07,32,16,relu,1e-05,3,2,mse,0.25613635778427124
08,32,32,relu,0.001,2,2,mae,0.2603110074996948
09,32,32,tanh,0.01,3,1,mae,0.29303476214408875
